No.,POI Name Arabic,POI Name English,Category,Food Type,Phone Number,Mobile Number,Street Name ,District,URL,Latitude,Longitude
3,"???? ??????
",mutemna Restaurant ,Restaurant ,,,,King Fahd Branch Rd,Al Arid,,24.829995,46.612870
16,?????? ????,Molciz Burger,Restaurant ,BURGERS,,"00966 59 328 2856
",King Fahd Rd,Al Arid,,24.835424,46.609984
17,"?????
","Buffet
",Restaurant,,,"00966 53 552 8162
",King Fahd Branch Rd,Al Arid,,24.835536,46.609929
20,????? ?????,Dunkin' Donuts,Restaurant,PASTERIE,"
00966 11 465 7008","
",King Fahd Rd,Al Arid,"dunkindonuts.sa
",24.837611,46.608895
22,"????? ?????
","Baskin Robbins
",Restaurant,ICE CREAM,"00966 13 834 3410
",,King Fahd Rd,Al Arid,baskinrobbinsmea.com,24.837490,46.608959
24,??? ???? ?????,DOOH Cafe & Restaurant,Restaurant,,,00966 53 194 0220,King Fahd Branch Rd,Al Arid,dooh.company,24.837726,46.608836
25,????,Herfy,Restaurant,,00966 9200 01111,,King Fahd Rd,Al Arid,herfy.com,24.838142,46.608623
35,????? ?????? ?????,Bufih Ashraqt Rimas,Restaurant,,,,King Fahd Branch Rd,Al Arid,,24.841505,46.606922
43,???? ????? ?????,Rawafid Alarab Restaurant,Restaurant,,,,King Fahd Branch Rd,Al Arid,,24.846402,46.604430
44,???? ????? ????,zawiat rayz Restaurant ,Restaurant,,00966 11 812 4853,,King Fahd Branch Rd,Al Arid,,24.848711,46.603289
61,????? ??????,Shawerma Buffet,Restaurant,,,,King Fahd Branch Rd,Al Arid,,24.850563,46.602353
74,????,Restaurant,Restaurant,,,,King Fahd Branch Rd,Al Arid,,24.860216,46.597417
114,???? ??????,Fawal AlTaif,Restaurant,,,00966 53 324 9288,King Abdulaziz Rd,Al Arid,,24.882627,46.611292
115,???? ??????,Fawal Altaeef,Restaurant,,,00966 55 222 7830,King Abdulaziz Rd,Al Arid,,24.882692,46.611256
122,??????? ????,Ice Cream Rolls,Restaurant,ICE CREAM,,,King Fahd Branch Rd,Al Arid,,24.871440,46.591748
129,???? ??? ????,Abu Haytham Restaurant,Restaurant,,,,King Fahd Branch Rd,Al Arid,,24.875808,46.589514
133,???? ?????,Fatayr Restaurant,Restaurant,,,00966 50 356 8079,King Fahd Branch Rd,Al Arid,,24.876821,46.588996
